column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
park_factor_hr,float64,12148,9538,2610,0.2148501810997695,0.0,0.6543967280163598,0.9938650306748466,1.397473123639566
park_factor_run,float64,12148,9538,2610,0.2148501810997695,0.0,0.7882244330260072,0.988461754197026,1.3431330162847672
wind_direction,str,12148,10087,2061,0.16965755679947317,,,,
sp_fastball_velocity_diff,float64,12148,10093,2055,0.16916364833717484,0.0,-13.187815523701277,-0.0072411016095941,13.865170132874525
sp_statcast_xwoba_allowed_diff,float64,12148,10094,2054,0.16908133026012512,0.0,-0.4153616862010542,-0.00035126831595535,0.4138137907919439
sp_whiff_rate_diff,float64,12148,10094,2054,0.16908133026012512,0.0002469542311491604,-0.2264234734337827,-0.00015724594665599998,0.214878110077909
sp_fip_diff,float64,12148,10648,1500,0.12347711557458017,0.0006585446163977609,-35.66666666666667,-0.01558097056747915,62.75000000000005
home_sp_avg_fastball_velocity_to_date,float64,12148,10902,1246,0.10256832400395127,0.0,82.69368421052631,92.98423917737944,99.96194690265489
home_sp_avg_spin_rate_to_date,float64,12148,10902,1246,0.10256832400395127,0.0,1412.6220400728598,2234.258221665091,2904.062322946176
home_sp_avg_exit_velocity_allowed_to_date,float64,12148,10903,1245,0.10248600592690155,0.0,68.16666666666667,82.44444444444444,108.00000000000004
home_sp_barrel_rate_allowed_to_date,float64,12148,10903,1245,0.10248600592690155,0.03292723081988805,0.0,0.0426621160409556,1.0
home_sp_breaking_ball_usage_to_date,float64,12148,10903,1245,0.10248600592690155,0.08281198551201845,0.0,0.2184950135992747,1.0
home_sp_fastball_usage_to_date,float64,12148,10903,1245,0.10248600592690155,8.231807704972011e-05,0.0,0.5536047814717968,1.0
home_sp_hard_hit_rate_allowed_to_date,float64,12148,10903,1245,0.10248600592690155,0.0013170892327955218,0.0,0.244360902255639,1.0
home_sp_offspeed_usage_to_date,float64,12148,10903,1245,0.10248600592690155,0.03399736582153441,0.0,0.1324041811846689,0.625
home_sp_statcast_woba_allowed_to_date,float64,12148,10903,1245,0.10248600592690155,0.0014817253868949622,0.0,0.3174242424242424,0.9392857142857144
home_sp_statcast_xwoba_allowed_to_date,float64,12148,10903,1245,0.10248600592690155,0.0,0.0151666666666666,0.3180480623880124,0.7160423383749672
home_sp_whiff_rate_to_date,float64,12148,10903,1245,0.10248600592690155,0.0005762265393480408,0.0,0.1163043478260869,0.3478260869565217
away_sp_avg_spin_rate_to_date,float64,12148,10908,1240,0.10207441554165295,0.0,1406.2267303102626,2229.6237083260476,2908.244532803181
away_sp_avg_exit_velocity_allowed_to_date,float64,12148,10910,1238,0.10190977938755351,0.0,67.8,82.46196322196322,101.5
away_sp_avg_fastball_velocity_to_date,float64,12148,10910,1238,0.10190977938755351,0.0,82.63720930232557,92.98855125311107,100.41754385964911
away_sp_barrel_rate_allowed_to_date,float64,12148,10910,1238,0.10190977938755351,0.03317418505103721,0.0,0.0425531914893617,0.5
away_sp_breaking_ball_usage_to_date,float64,12148,10910,1238,0.10190977938755351,0.08610470859400725,0.0,0.2185971274053664,0.9555555555555556
away_sp_fastball_usage_to_date,float64,12148,10910,1238,0.10190977938755351,0.0,0.0222222222222222,0.5537789734420953,0.961038961038961
away_sp_hard_hit_rate_allowed_to_date,float64,12148,10910,1238,0.10190977938755351,0.0009878169245966415,0.0,0.2444444444444444,0.75
away_sp_offspeed_usage_to_date,float64,12148,10910,1238,0.10190977938755351,0.03210405004939085,0.0,0.1337394460079988,0.6037735849056604
away_sp_statcast_woba_allowed_to_date,float64,12148,10910,1238,0.10190977938755351,0.0009054988475469213,0.0,0.3169273921637018,1.0799999999999998
away_sp_statcast_xwoba_allowed_to_date,float64,12148,10910,1238,0.10190977938755351,0.0,0.0947368421052631,0.31764014007011165,0.710730376344086
away_sp_whiff_rate_to_date,float64,12148,10910,1238,0.10190977938755351,0.0004115903852486006,0.0,0.11655557075693505,0.32
home_sp_fip_last_3_starts,float64,12148,11194,954,0.07853144550543299,0.0,-2.9,4.129084967320262,41.1
home_sp_fip_last_5_starts,float64,12148,11194,954,0.07853144550543299,0.0,-2.9,4.223170995670996,41.1
home_sp_fip_season_to_date,float64,12148,11194,954,0.07853144550543299,0.0,-2.9,3.976923076923077,41.1
home_sp_ip_avg_last_3_starts,float64,12148,11194,954,0.07853144550543299,0.0,0.3333333333333333,5.333333333333333,8.555555555555555
home_sp_kbb_rate_season_to_date,float64,12148,11194,954,0.07853144550543299,0.01300625617385578,-0.5,0.14128929302661686,0.8333333333333334
home_sp_pitch_count_last_start,float64,12148,11194,954,0.07853144550543299,8.231807704972011e-05,0.0,89.0,129.0
home_sp_rest_days,float64,12148,11194,954,0.07853144550543299,0.0002469542311491604,0.0,5.0,172.0
home_sp_whip_season_to_date,float64,12148,11194,954,0.07853144550543299,0.0017286796180441225,0.0,1.25,21.000000000000018
away_sp_fip_last_3_starts,float64,12148,11206,942,0.07754362858083635,0.0,-1.233333333333333,4.116666666666667,69.1
away_sp_fip_last_5_starts,float64,12148,11206,942,0.07754362858083635,0.0,-1.233333333333333,4.1875,69.1
away_sp_fip_season_to_date,float64,12148,11206,942,0.07754362858083635,0.0,-1.233333333333333,3.969897112512446,69.10000000000005
away_sp_kbb_rate_season_to_date,float64,12148,11206,942,0.07754362858083635,0.011936121172209418,-0.3125,0.1412097042206713,0.7222222222222222
away_sp_whip_season_to_date,float64,12148,11206,942,0.07754362858083635,0.0012347711557458018,0.0,1.2448370392933292,15.000000000000014
away_sp_ip_avg_last_3_starts,float64,12148,11207,941,0.07746131050378663,8.231807704972011e-05,0.0,5.333333333333333,9.0
away_sp_pitch_count_last_start,float64,12148,11207,941,0.07746131050378663,0.0002469542311491604,0.0,90.0,131.0
away_sp_rest_days,float64,12148,11207,941,0.07746131050378663,0.00016463615409944023,0.0,5.0,157.0
lineup_statcast_xwoba_diff,float64,12148,11534,614,0.050543299308528154,0.0,-0.3293022766623645,0.00050575768519005,0.34622694527364
away_lineup_avg_exit_velocity,float64,12148,11803,345,0.028399736582153442,0.0,70.36,82.3193009217936,90.39645833333336
away_lineup_barrel_rate,float64,12148,11803,345,0.028399736582153442,0.002881132696740204,0.0,0.0423652496184048,0.1730573710965867
away_lineup_hard_hit_rate,float64,12148,11803,345,0.028399736582153442,0.0009054988475469213,0.0,0.2418943662972368,0.4357142857142856
away_lineup_statcast_woba,float64,12148,11803,345,0.028399736582153442,0.0009054988475469213,0.0,0.3225437961540653,0.60625
away_lineup_statcast_xwoba,float64,12148,11803,345,0.028399736582153442,0.0009054988475469213,0.0,0.31675389930249,0.5075946074074075
home_lineup_avg_exit_velocity,float64,12148,11807,341,0.02807046427395456,0.0,73.40738095238096,82.3385164900043,91.9137566137566
home_lineup_barrel_rate,float64,12148,11807,341,0.02807046427395456,0.0025518603885413237,0.0,0.0425080615682413,0.1854938271604938
home_lineup_hard_hit_rate,float64,12148,11807,341,0.02807046427395456,0.0008231807704972012,0.0,0.242540821512841,0.4740740740740741
home_lineup_statcast_woba,float64,12148,11807,341,0.02807046427395456,0.0013170892327955218,0.0,0.323015472464784,0.6142592592592592
home_lineup_statcast_xwoba,float64,12148,11807,341,0.02807046427395456,0.0008231807704972012,0.0,0.317373406321461,0.5802609461802376
